org,repo,workflow,ref,url,runner,self_hosted,supported
docker,build-push-action,.github/workflows/ci.yml,master,https://github.com/docker/build-push-action/blob/9e436ba9f2d7bcd1d038c8e55d039d37896ddc5d/.github/workflows/ci.yml,ubuntu-latest,0,1
docker,build-push-action,.github/workflows/publish.yml,master,https://github.com/docker/build-push-action/blob/9e436ba9f2d7bcd1d038c8e55d039d37896ddc5d/.github/workflows/publish.yml,ubuntu-latest,0,1
docker,build-push-action,.github/workflows/test.yml,master,https://github.com/docker/build-push-action/blob/9e436ba9f2d7bcd1d038c8e55d039d37896ddc5d/.github/workflows/test.yml,ubuntu-latest,0,1
docker,build-push-action,.github/workflows/validate.yml,master,https://github.com/docker/build-push-action/blob/9e436ba9f2d7bcd1d038c8e55d039d37896ddc5d/.github/workflows/validate.yml,ubuntu-latest,0,1
docker,buildkit-syft-scanner,.github/workflows/buildkit-image.yml,master,https://github.com/docker/buildkit-syft-scanner/blob/7f88f574a306067cc8ec471b6d5a4a70f0c26208/.github/workflows/buildkit-image.yml,ubuntu-latest,0,1
docker,buildkit-syft-scanner,.github/workflows/ci.yaml,master,https://github.com/docker/buildkit-syft-scanner/blob/7f88f574a306067cc8ec471b6d5a4a70f0c26208/.github/workflows/ci.yaml,ubuntu-latest,0,1
docker,buildkit-syft-scanner,.github/workflows/e2e.yml,master,https://github.com/docker/buildkit-syft-scanner/blob/7f88f574a306067cc8ec471b6d5a4a70f0c26208/.github/workflows/e2e.yml,ubuntu-latest,0,1
docker,buildkit-syft-scanner,.github/workflows/validate.yml,master,https://github.com/docker/buildkit-syft-scanner/blob/7f88f574a306067cc8ec471b6d5a4a70f0c26208/.github/workflows/validate.yml,ubuntu-latest,0,1
docker,buildx,.github/workflows/build.yml,master,https://github.com/docker/buildx/blob/abf6ab4a377ff196714ba06d8e62407ef1750549/.github/workflows/build.yml,macos-14,0,1
docker,buildx,.github/workflows/build.yml,master,https://github.com/docker/buildx/blob/abf6ab4a377ff196714ba06d8e62407ef1750549/.github/workflows/build.yml,ubuntu-22.04,0,1
docker,buildx,.github/workflows/build.yml,master,https://github.com/docker/buildx/blob/abf6ab4a377ff196714ba06d8e62407ef1750549/.github/workflows/build.yml,ubuntu-24.04,0,1
docker,buildx,.github/workflows/build.yml,master,https://github.com/docker/buildx/blob/abf6ab4a377ff196714ba06d8e62407ef1750549/.github/workflows/build.yml,windows-2022,0,1
docker,buildx,.github/workflows/codeql.yml,master,https://github.com/docker/buildx/blob/abf6ab4a377ff196714ba06d8e62407ef1750549/.github/workflows/codeql.yml,ubuntu-24.04,0,1
docker,buildx,.github/workflows/docs-release.yml,master,https://github.com/docker/buildx/blob/abf6ab4a377ff196714ba06d8e62407ef1750549/.github/workflows/docs-release.yml,ubuntu-24.04,0,1
docker,buildx,.github/workflows/docs-upstream.yml,master,https://github.com/docker/buildx/blob/abf6ab4a377ff196714ba06d8e62407ef1750549/.github/workflows/docs-upstream.yml,ubuntu-24.04,0,1
docker,buildx,.github/workflows/e2e.yml,master,https://github.com/docker/buildx/blob/abf6ab4a377ff196714ba06d8e62407ef1750549/.github/workflows/e2e.yml,ubuntu-24.04,0,1
docker,buildx,.github/workflows/labeler.yml,master,https://github.com/docker/buildx/blob/abf6ab4a377ff196714ba06d8e62407ef1750549/.github/workflows/labeler.yml,ubuntu-latest,0,1
docker,buildx,.github/workflows/validate.yml,master,https://github.com/docker/buildx/blob/abf6ab4a377ff196714ba06d8e62407ef1750549/.github/workflows/validate.yml,ubuntu-24.04,0,1
docker,cagent,.github/workflows/ci.yml,main,https://github.com/docker/cagent/blob/4148d8cb21cd0fd89a073f6c140681c68b68236c/.github/workflows/ci.yml,ubuntu-latest,0,1
docker,cli-docs-tool,.github/workflows/test.yml,main,https://github.com/docker/cli-docs-tool/blob/3c1cdbb86f9b3099dcda9046ad861326a62b0081/.github/workflows/test.yml,ubuntu-latest,0,1
docker,cli,.github/workflows/build.yml,master,https://github.com/docker/cli/blob/171a9b70b2736c719019393259ecebdcac47bead/.github/workflows/build.yml,ubuntu-24.04,0,1
docker,cli,.github/workflows/codeql.yml,master,https://github.com/docker/cli/blob/171a9b70b2736c719019393259ecebdcac47bead/.github/workflows/codeql.yml,ubuntu-24.04,0,1
docker,cli,.github/workflows/e2e.yml,master,https://github.com/docker/cli/blob/171a9b70b2736c719019393259ecebdcac47bead/.github/workflows/e2e.yml,ubuntu-24.04,0,1
docker,cli,.github/workflows/test.yml,master,https://github.com/docker/cli/blob/171a9b70b2736c719019393259ecebdcac47bead/.github/workflows/test.yml,macos-14,0,1
docker,cli,.github/workflows/test.yml,master,https://github.com/docker/cli/blob/171a9b70b2736c719019393259ecebdcac47bead/.github/workflows/test.yml,macos-15,0,1
docker,cli,.github/workflows/test.yml,master,https://github.com/docker/cli/blob/171a9b70b2736c719019393259ecebdcac47bead/.github/workflows/test.yml,macos-15-intel,1,1
docker,cli,.github/workflows/test.yml,master,https://github.com/docker/cli/blob/171a9b70b2736c719019393259ecebdcac47bead/.github/workflows/test.yml,ubuntu-24.04,0,1
docker,cli,.github/workflows/validate-pr.yml,master,https://github.com/docker/cli/blob/171a9b70b2736c719019393259ecebdcac47bead/.github/workflows/validate-pr.yml,ubuntu-24.04,0,1
docker,cli,.github/workflows/validate.yml,master,https://github.com/docker/cli/blob/171a9b70b2736c719019393259ecebdcac47bead/.github/workflows/validate.yml,ubuntu-24.04,0,1
docker,compose-bridge-transformer,.github/workflows/transformer-images.yaml,main,https://github.com/docker/compose-bridge-transformer/blob/676ea5d8c9cc5544df8918cd65eca52b95712a01/.github/workflows/transformer-images.yaml,ubuntu-latest,0,1
docker,compose-for-agents,.github/workflows/a2a.yaml,main,https://github.com/docker/compose-for-agents/blob/c47af8c51050e97293d027cc06fee93d3a0b3804/.github/workflows/a2a.yaml,ubuntu-latest,0,1
docker,compose-for-agents,.github/workflows/adk-cerebras.yaml,main,https://github.com/docker/compose-for-agents/blob/c47af8c51050e97293d027cc06fee93d3a0b3804/.github/workflows/adk-cerebras.yaml,ubuntu-latest,0,1
docker,compose-for-agents,.github/workflows/adk.yaml,main,https://github.com/docker/compose-for-agents/blob/c47af8c51050e97293d027cc06fee93d3a0b3804/.github/workflows/adk.yaml,ubuntu-latest,0,1
docker,compose-for-agents,.github/workflows/agno.yaml,main,https://github.com/docker/compose-for-agents/blob/c47af8c51050e97293d027cc06fee93d3a0b3804/.github/workflows/agno.yaml,ubuntu-latest,0,1
docker,compose-for-agents,.github/workflows/akka.yaml,main,https://github.com/docker/compose-for-agents/blob/c47af8c51050e97293d027cc06fee93d3a0b3804/.github/workflows/akka.yaml,ubuntu-latest,0,1
docker,compose-for-agents,.github/workflows/crew-ai.yaml,main,https://github.com/docker/compose-for-agents/blob/c47af8c51050e97293d027cc06fee93d3a0b3804/.github/workflows/crew-ai.yaml,ubuntu-latest,0,1
docker,compose-for-agents,.github/workflows/langgraph.yaml,main,https://github.com/docker/compose-for-agents/blob/c47af8c51050e97293d027cc06fee93d3a0b3804/.github/workflows/langgraph.yaml,ubuntu-latest,0,1
docker,compose-for-agents,.github/workflows/markdownlint.yaml,main,https://github.com/docker/compose-for-agents/blob/c47af8c51050e97293d027cc06fee93d3a0b3804/.github/workflows/markdownlint.yaml,ubuntu-latest,0,1
docker,compose-for-agents,.github/workflows/yamllint.yaml,main,https://github.com/docker/compose-for-agents/blob/c47af8c51050e97293d027cc06fee93d3a0b3804/.github/workflows/yamllint.yaml,ubuntu-latest,0,1
