org,repo,workflow,fork,archived,stars,visibility,ref,ref_type,ref_resolved_to,ref_resolved_type,workflow_type,workflow_url,jobs_count,workflow_status,parent_workflows,event_triggers
docker,go-containerregistry,.github/workflows/ghcr-auth.yaml,1,0,3,public,main,branch,b4625a059fbebc45bfe8df53e19fac2778910f6d,commit,workflow,https://github.com/docker/go-containerregistry/blob/b4625a059fbebc45bfe8df53e19fac2778910f6d/.github/workflows/ghcr-auth.yaml,1,,,"pull_request_target,push"
docker,go-containerregistry,.github/workflows/presubmit.yaml,1,0,3,public,main,branch,b4625a059fbebc45bfe8df53e19fac2778910f6d,commit,workflow,https://github.com/docker/go-containerregistry/blob/b4625a059fbebc45bfe8df53e19fac2778910f6d/.github/workflows/presubmit.yaml,1,,,"push,pull_request"
docker,go-containerregistry,.github/workflows/release.yml,1,0,3,public,main,branch,b4625a059fbebc45bfe8df53e19fac2778910f6d,commit,workflow,https://github.com/docker/go-containerregistry/blob/b4625a059fbebc45bfe8df53e19fac2778910f6d/.github/workflows/release.yml,3,,,push
docker,go-containerregistry,.github/workflows/stale.yaml,1,0,3,public,main,branch,b4625a059fbebc45bfe8df53e19fac2778910f6d,commit,workflow,https://github.com/docker/go-containerregistry/blob/b4625a059fbebc45bfe8df53e19fac2778910f6d/.github/workflows/stale.yaml,1,,,schedule
docker,go-containerregistry,.github/workflows/style.yaml,1,0,3,public,main,branch,b4625a059fbebc45bfe8df53e19fac2778910f6d,commit,workflow,https://github.com/docker/go-containerregistry/blob/b4625a059fbebc45bfe8df53e19fac2778910f6d/.github/workflows/style.yaml,2,,,pull_request
docker,go-containerregistry,.github/workflows/test.yaml,1,0,3,public,main,branch,b4625a059fbebc45bfe8df53e19fac2778910f6d,commit,workflow,https://github.com/docker/go-containerregistry/blob/b4625a059fbebc45bfe8df53e19fac2778910f6d/.github/workflows/test.yaml,1,,,"push,pull_request"
docker,go-events,.github/workflows/ci.yml,0,0,134,public,main,branch,605354379745b6c8c77a74b63d5efac4769a11fd,commit,workflow,https://github.com/docker/go-events/blob/605354379745b6c8c77a74b63d5efac4769a11fd/.github/workflows/ci.yml,3,,,"workflow_dispatch,push,pull_request"
docker,go-events,.github/workflows/codeql.yml,0,0,134,public,main,branch,605354379745b6c8c77a74b63d5efac4769a11fd,commit,workflow,https://github.com/docker/go-events/blob/605354379745b6c8c77a74b63d5efac4769a11fd/.github/workflows/codeql.yml,1,,,"push,pull_request,schedule"
docker,go-imageinspect,.github/workflows/ci.yml,0,0,15,public,main,branch,e405fbd0dd06cd547c60f0269642e0a3bed14e94,commit,workflow,https://github.com/docker/go-imageinspect/blob/e405fbd0dd06cd547c60f0269642e0a3bed14e94/.github/workflows/ci.yml,2,,,"push,pull_request"
docker,go-plugins-helpers,.github/workflows/ci.yaml,0,0,342,public,main,branch,45e2431495c83b9ca1c2a669987d6e1afad07774,commit,workflow,https://github.com/docker/go-plugins-helpers/blob/45e2431495c83b9ca1c2a669987d6e1afad07774/.github/workflows/ci.yaml,1,,,"push,pull_request"
docker,go-sdk,.github/workflows/ci-benchmarks.yml,0,0,59,public,main,branch,3fbf620dcad00fdcf54079734edb1514934e0cde,commit,workflow,https://github.com/docker/go-sdk/blob/3fbf620dcad00fdcf54079734edb1514934e0cde/.github/workflows/ci-benchmarks.yml,1,,,workflow_call
docker,go-sdk,.github/workflows/ci-lint-go.yml,0,0,59,public,main,branch,3fbf620dcad00fdcf54079734edb1514934e0cde,commit,workflow,https://github.com/docker/go-sdk/blob/3fbf620dcad00fdcf54079734edb1514934e0cde/.github/workflows/ci-lint-go.yml,1,,,workflow_call
docker,go-sdk,.github/workflows/ci-test-go.yml,0,0,59,public,main,branch,3fbf620dcad00fdcf54079734edb1514934e0cde,commit,workflow,https://github.com/docker/go-sdk/blob/3fbf620dcad00fdcf54079734edb1514934e0cde/.github/workflows/ci-test-go.yml,1,,,workflow_call
docker,go-sdk,.github/workflows/ci.yml,0,0,59,public,main,branch,3fbf620dcad00fdcf54079734edb1514934e0cde,commit,workflow,https://github.com/docker/go-sdk/blob/3fbf620dcad00fdcf54079734edb1514934e0cde/.github/workflows/ci.yml,5,,,"push,pull_request"
docker,go-sdk,.github/workflows/conventions.yml,0,0,59,public,main,branch,3fbf620dcad00fdcf54079734edb1514934e0cde,commit,workflow,https://github.com/docker/go-sdk/blob/3fbf620dcad00fdcf54079734edb1514934e0cde/.github/workflows/conventions.yml,1,,,pull_request_target
docker,go-sdk,.github/workflows/release-drafter.yml,0,0,59,public,main,branch,3fbf620dcad00fdcf54079734edb1514934e0cde,commit,workflow,https://github.com/docker/go-sdk/blob/3fbf620dcad00fdcf54079734edb1514934e0cde/.github/workflows/release-drafter.yml,2,,,push
docker,go-sdk,.github/workflows/release-module.yml,0,0,59,public,main,branch,3fbf620dcad00fdcf54079734edb1514934e0cde,commit,workflow,https://github.com/docker/go-sdk/blob/3fbf620dcad00fdcf54079734edb1514934e0cde/.github/workflows/release-module.yml,1,,,workflow_dispatch
docker,go-sdk,.github/workflows/release-modules.yml,0,0,59,public,main,branch,3fbf620dcad00fdcf54079734edb1514934e0cde,commit,workflow,https://github.com/docker/go-sdk/blob/3fbf620dcad00fdcf54079734edb1514934e0cde/.github/workflows/release-modules.yml,1,,,workflow_dispatch
docker,go-sdk,.github/workflows/sonar-bulk-operations.yml,0,0,59,public,main,branch,3fbf620dcad00fdcf54079734edb1514934e0cde,commit,workflow,https://github.com/docker/go-sdk/blob/3fbf620dcad00fdcf54079734edb1514934e0cde/.github/workflows/sonar-bulk-operations.yml,1,,,workflow_dispatch
docker,go-sdk,.github/workflows/sonar-create-project.yml,0,0,59,public,main,branch,3fbf620dcad00fdcf54079734edb1514934e0cde,commit,workflow,https://github.com/docker/go-sdk/blob/3fbf620dcad00fdcf54079734edb1514934e0cde/.github/workflows/sonar-create-project.yml,1,,,workflow_dispatch
docker,go-sdk,.github/workflows/sonar-delete-project.yml,0,0,59,public,main,branch,3fbf620dcad00fdcf54079734edb1514934e0cde,commit,workflow,https://github.com/docker/go-sdk/blob/3fbf620dcad00fdcf54079734edb1514934e0cde/.github/workflows/sonar-delete-project.yml,1,,,workflow_dispatch
docker,go-tuf-mirror,.github/workflows/release-drafter.yml,0,1,4,public,main,branch,6cb12d389865b1c179abfe5156a0703f29a3063c,commit,workflow,https://github.com/docker/go-tuf-mirror/blob/6cb12d389865b1c179abfe5156a0703f29a3063c/.github/workflows/release-drafter.yml,1,,,"push,pull_request"
docker,go-tuf-mirror,.github/workflows/release.yml,0,1,4,public,main,branch,6cb12d389865b1c179abfe5156a0703f29a3063c,commit,workflow,https://github.com/docker/go-tuf-mirror/blob/6cb12d389865b1c179abfe5156a0703f29a3063c/.github/workflows/release.yml,1,,,release
docker,go-tuf-mirror,.github/workflows/test.yml,0,1,4,public,main,branch,6cb12d389865b1c179abfe5156a0703f29a3063c,commit,workflow,https://github.com/docker/go-tuf-mirror/blob/6cb12d389865b1c179abfe5156a0703f29a3063c/.github/workflows/test.yml,1,,,"push,pull_request,workflow_dispatch"
docker,go-winio,.github/workflows/ci.yml,1,0,2,public,main,branch,2fc31b79aab43dca849dcbd8cd8072a6aa9f1008,commit,workflow,https://github.com/docker/go-winio/blob/2fc31b79aab43dca849dcbd8cd8072a6aa9f1008/.github/workflows/ci.yml,4,,,"push,pull_request"
docker,hello-genai,.github/workflows/smoke-tests.yml,0,0,146,public,main,branch,082cc9bcc97d15ca6753fb1e2af4bfcb82e1c78c,commit,workflow,https://github.com/docker/hello-genai/blob/082cc9bcc97d15ca6753fb1e2af4bfcb82e1c78c/.github/workflows/smoke-tests.yml,1,,,"push,pull_request"
docker,hub-feedback,.github/workflows/issues_bot.yml,0,0,241,public,main,branch,304d7ef8b7f2907158697b6511aa68621ac86c3f,commit,workflow,https://github.com/docker/hub-feedback/blob/304d7ef8b7f2907158697b6511aa68621ac86c3f/.github/workflows/issues_bot.yml,1,,,schedule
docker,hub-feedback,.github/workflows/set_new_label_and_comment.yml,0,0,241,public,main,branch,304d7ef8b7f2907158697b6511aa68621ac86c3f,commit,workflow,https://github.com/docker/hub-feedback/blob/304d7ef8b7f2907158697b6511aa68621ac86c3f/.github/workflows/set_new_label_and_comment.yml,1,,,issues
docker,hub-mcp,.github/workflows/lint.yml,0,0,82,public,main,branch,2ff4b20e40bba93c8002ff8aa4fb10f66c95943a,commit,workflow,https://github.com/docker/hub-mcp/blob/2ff4b20e40bba93c8002ff8aa4fb10f66c95943a/.github/workflows/lint.yml,1,,,pull_request
