third_party_org_name,third_party_repo_name,third_party_ref,third_party_repo_fullname,third_party_ref_type,third_party_url,third_party_archived,third_parth_forked,third_party_stars,repo_name,workflow_path,workflow_type,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
actions,checkout,df4cb1c069e1874edd31b4311f1884172cec0e10,actions/checkout@df4cb1c069e1874edd31b4311f1884172cec0e10,commit,https://github.com/actions/checkout/blob/df4cb1c069e1874edd31b4311f1884172cec0e10/action.yml,0,0,8019,actions-toolkit,undock-releases-json.yml,workflow,public,0,0,0,https://github.com/docker/actions-toolkit/blob/main/.github/workflows/undock-releases-json.yml,https://github.com/docker/actions-toolkit
actions,checkout,df4cb1c069e1874edd31b4311f1884172cec0e10,actions/checkout@df4cb1c069e1874edd31b4311f1884172cec0e10,commit,https://github.com/actions/checkout/blob/df4cb1c069e1874edd31b4311f1884172cec0e10/action.yml,0,0,8019,actions-toolkit,update-deps.yml,workflow,public,0,0,0,https://github.com/docker/actions-toolkit/blob/main/.github/workflows/update-deps.yml,https://github.com/docker/actions-toolkit
actions,checkout,df4cb1c069e1874edd31b4311f1884172cec0e10,actions/checkout@df4cb1c069e1874edd31b4311f1884172cec0e10,commit,https://github.com/actions/checkout/blob/df4cb1c069e1874edd31b4311f1884172cec0e10/action.yml,0,0,8019,actions-toolkit,validate.yml,workflow,public,0,0,0,https://github.com/docker/actions-toolkit/blob/main/.github/workflows/validate.yml,https://github.com/docker/actions-toolkit
actions,checkout,df4cb1c069e1874edd31b4311f1884172cec0e10,actions/checkout@df4cb1c069e1874edd31b4311f1884172cec0e10,commit,https://github.com/actions/checkout/blob/df4cb1c069e1874edd31b4311f1884172cec0e10/action.yml,0,0,8019,actions-toolkit,zizmor.yml,workflow,public,0,0,0,https://github.com/docker/actions-toolkit/blob/main/.github/workflows/zizmor.yml,https://github.com/docker/actions-toolkit
actions,checkout,f43a0e5ff2bd294095638e18286ca9a3d1956744,actions/checkout@f43a0e5ff2bd294095638e18286ca9a3d1956744,commit,https://github.com/actions/checkout/blob/f43a0e5ff2bd294095638e18286ca9a3d1956744/action.yml,0,0,8019,autobuilds-actions,full-autobuilds.yaml,workflow,public,0,0,0,https://github.com/docker/autobuilds-actions/blob/main/.github/workflows/full-autobuilds.yaml,https://github.com/docker/autobuilds-actions
actions,checkout,f43a0e5ff2bd294095638e18286ca9a3d1956744,actions/checkout@f43a0e5ff2bd294095638e18286ca9a3d1956744,commit,https://github.com/actions/checkout/blob/f43a0e5ff2bd294095638e18286ca9a3d1956744/action.yml,0,0,8019,autobuilds-actions,simple-build.yaml,workflow,public,0,0,0,https://github.com/docker/autobuilds-actions/blob/main/.github/workflows/simple-build.yaml,https://github.com/docker/autobuilds-actions
actions,checkout,ee0669bd1cc54295c223e0bb666b733df41de1c5,actions/checkout@ee0669bd1cc54295c223e0bb666b733df41de1c5,commit,https://github.com/actions/checkout/blob/ee0669bd1cc54295c223e0bb666b733df41de1c5/action.yml,0,0,8019,awesome-compose,codeql-analysis.yml,workflow,public,0,0,0,https://github.com/docker/awesome-compose/blob/master/.github/workflows/codeql-analysis.yml,https://github.com/docker/awesome-compose
actions,checkout,08c6903cd8c0fde910a37f88322edcfb5dd907a8,actions/checkout@08c6903cd8c0fde910a37f88322edcfb5dd907a8,commit,https://github.com/actions/checkout/blob/08c6903cd8c0fde910a37f88322edcfb5dd907a8/action.yml,0,0,8019,aws-kms-sign-csr,build.yml,workflow,public,0,1,0,https://github.com/docker/aws-kms-sign-csr/blob/master/.github/workflows/build.yml,https://github.com/docker/aws-kms-sign-csr
actions,checkout,08c6903cd8c0fde910a37f88322edcfb5dd907a8,actions/checkout@08c6903cd8c0fde910a37f88322edcfb5dd907a8,commit,https://github.com/actions/checkout/blob/08c6903cd8c0fde910a37f88322edcfb5dd907a8/action.yml,0,0,8019,aws-kms-sign-csr,release.yml,workflow,public,0,1,0,https://github.com/docker/aws-kms-sign-csr/blob/master/.github/workflows/release.yml,https://github.com/docker/aws-kms-sign-csr
actions,checkout,f43a0e5ff2bd294095638e18286ca9a3d1956744,actions/checkout@f43a0e5ff2bd294095638e18286ca9a3d1956744,commit,https://github.com/actions/checkout/blob/f43a0e5ff2bd294095638e18286ca9a3d1956744/action.yml,0,0,8019,babashka-pod-docker,docker.yml,workflow,public,0,0,0,https://github.com/docker/babashka-pod-docker/blob/main/.github/workflows/docker.yml,https://github.com/docker/babashka-pod-docker
