repo_name,workflow_path,workflow_type,variable_name,variable_type,variable_location,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
metadata-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_ID,secret,step,public,0,0,0,https://github.com/docker/metadata-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/metadata-action
setup-docker-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_ID,secret,step,public,0,0,0,https://github.com/docker/setup-docker-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/setup-docker-action
setup-buildx-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_ID,secret,step,public,0,0,0,https://github.com/docker/setup-buildx-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/setup-buildx-action
setup-compose-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_ID,secret,step,public,0,0,0,https://github.com/docker/setup-compose-action/blob/main/.github/workflows/update-dist.yml,https://github.com/docker/setup-compose-action
setup-qemu-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_ID,secret,step,public,0,0,0,https://github.com/docker/setup-qemu-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/setup-qemu-action
build-push-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/docker/build-push-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/build-push-action
bake-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/docker/bake-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/bake-action
login-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/docker/login-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/login-action
metadata-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/docker/metadata-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/metadata-action
setup-docker-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/docker/setup-docker-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/setup-docker-action
setup-buildx-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/docker/setup-buildx-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/setup-buildx-action
setup-compose-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/docker/setup-compose-action/blob/main/.github/workflows/update-dist.yml,https://github.com/docker/setup-compose-action
setup-qemu-action,update-dist.yml,workflow,GHACTIONS_REPO_WRITE_APP_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/docker/setup-qemu-action/blob/master/.github/workflows/update-dist.yml,https://github.com/docker/setup-qemu-action
actions-toolkit,update-deps.yml,workflow,GHACTIONS_REPO_WRITE_CLIENT_ID,variable,step,public,0,0,0,https://github.com/docker/actions-toolkit/blob/main/.github/workflows/update-deps.yml,https://github.com/docker/actions-toolkit
actions-toolkit,update-deps.yml,workflow,GHACTIONS_REPO_WRITE_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/docker/actions-toolkit/blob/main/.github/workflows/update-deps.yml,https://github.com/docker/actions-toolkit
buildx,docs-release.yml,workflow,GHPAT_DOCS_DISPATCH,secret,step,public,0,0,0,https://github.com/docker/buildx/blob/master/.github/workflows/docs-release.yml,https://github.com/docker/buildx
login-action,ci.yml,workflow,GITLAB_TOKEN,secret,step,public,0,0,0,https://github.com/docker/login-action/blob/master/.github/workflows/ci.yml,https://github.com/docker/login-action
login-action,ci.yml,workflow,GITLAB_USERNAME,secret,step,public,0,0,0,https://github.com/docker/login-action/blob/master/.github/workflows/ci.yml,https://github.com/docker/login-action
cagent-action,review-pr.yml,workflow,GOOGLE_API_KEY,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/main/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,test-e2e-reviewer.yml,workflow,GOOGLE_API_KEY,secret,job,public,0,0,0,https://github.com/docker/cagent-action/blob/main/.github/workflows/test-e2e-reviewer.yml,https://github.com/docker/cagent-action
docker-agent-action,review-pr.yml,workflow,GOOGLE_API_KEY,secret,step,public,0,0,1,https://github.com/docker/docker-agent-action/blob/main/.github/workflows/review-pr.yml,https://github.com/docker/docker-agent-action
docker-agent-action,test-e2e-reviewer.yml,workflow,GOOGLE_API_KEY,secret,job,public,0,0,0,https://github.com/docker/docker-agent-action/blob/main/.github/workflows/test-e2e-reviewer.yml,https://github.com/docker/docker-agent-action
cagent-action,review-pr.yml,workflow,GOOGLE_API_KEY,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/3f5dc9969f307d3c76acb7e9ccaefdd96bd62f4b/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,review-pr.yml,workflow,GOOGLE_API_KEY,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/2369328cd25777eb0a4ff959a399b6d1a5204fc7/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,review-pr.yml,workflow,GOOGLE_API_KEY,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/0498757af1c50b084f763d626f571918cf317509/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,review-pr.yml,workflow,GOOGLE_API_KEY,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/f208610469d69f20983cad64c577949a132caa33/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
cagent-action,review-pr.yml,workflow,GOOGLE_API_KEY,secret,step,public,0,0,1,https://github.com/docker/cagent-action/blob/d98096f432f2aea5091c811852c4da804e60623a/.github/workflows/review-pr.yml,https://github.com/docker/cagent-action
terraform-provider-docker,release.yml,workflow,GPG_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/docker/terraform-provider-docker/blob/main/.github/workflows/release.yml,https://github.com/docker/terraform-provider-docker
cagent-action,release.yml,workflow,HUB_OAT,secret,step,public,0,0,0,https://github.com/docker/cagent-action/blob/main/.github/workflows/release.yml,https://github.com/docker/cagent-action
docker-agent-action,release.yml,workflow,HUB_OAT,secret,step,public,0,0,0,https://github.com/docker/docker-agent-action/blob/main/.github/workflows/release.yml,https://github.com/docker/docker-agent-action
cagent-action,release.yml,workflow,HUB_ORG,secret,step,public,0,0,0,https://github.com/docker/cagent-action/blob/main/.github/workflows/release.yml,https://github.com/docker/cagent-action
