repo_name,workflow_path,workflow_type,variable_name,variable_type,variable_location,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
service-workbench-on-aws-cn,deploy-integ.yml,workflow,MERGE_TOKEN,secret,step,public,1,0,0,https://github.com/awslabs/service-workbench-on-aws-cn/blob/mainline/.github/workflows/deploy-integ.yml,https://github.com/awslabs/service-workbench-on-aws-cn
amazon-mission-solutions-auth-server,mirror-to-codecommit.yml,workflow,MIRROR_PACKAGE_NAME,variable,step,public,0,0,0,https://github.com/awslabs/amazon-mission-solutions-auth-server/blob/main/.github/workflows/mirror-to-codecommit.yml,https://github.com/awslabs/amazon-mission-solutions-auth-server
LISA,test-and-lint.yml,workflow,MISSION_SOLUTION_PR_WEBHOOK,secret,step,public,0,0,0,https://github.com/awslabs/LISA/blob/main/.github/workflows/test-and-lint.yml,https://github.com/awslabs/LISA
mlspace,code.test-and-lint.yml,workflow,MISSION_SOLUTION_PR_WEBHOOK,secret,step,public,0,0,0,https://github.com/awslabs/mlspace/blob/main/.github/workflows/code.test-and-lint.yml,https://github.com/awslabs/mlspace
osml-models,deploy.yml,workflow,MODELS_ACCOUNT_ID,secret,step,public,0,0,1,https://github.com/awslabs/osml-models/blob/main/.github/workflows/deploy.yml,https://github.com/awslabs/osml-models
osml-models,destroy.yml,workflow,MODELS_ACCOUNT_ID,secret,step,public,0,0,1,https://github.com/awslabs/osml-models/blob/main/.github/workflows/destroy.yml,https://github.com/awslabs/osml-models
osml-models,run-integration-tests.yml,workflow,MODELS_ACCOUNT_ID,secret,step,public,0,0,1,https://github.com/awslabs/osml-models/blob/main/.github/workflows/run-integration-tests.yml,https://github.com/awslabs/osml-models
osml-model-runner,deploy.yml,workflow,MODEL_RUNNER_ACCOUNT_ID,secret,step,public,0,0,1,https://github.com/awslabs/osml-model-runner/blob/main/.github/workflows/deploy.yml,https://github.com/awslabs/osml-model-runner
osml-model-runner,destroy.yml,workflow,MODEL_RUNNER_ACCOUNT_ID,secret,step,public,0,0,1,https://github.com/awslabs/osml-model-runner/blob/main/.github/workflows/destroy.yml,https://github.com/awslabs/osml-model-runner
osml-model-runner,run-integration-tests.yml,workflow,MODEL_RUNNER_ACCOUNT_ID,secret,step,public,0,0,1,https://github.com/awslabs/osml-model-runner/blob/main/.github/workflows/run-integration-tests.yml,https://github.com/awslabs/osml-model-runner
aws-solutions-assembler,release.yaml,workflow,M_S3_BUCKET,secret,step,public,1,0,0,https://github.com/awslabs/aws-solutions-assembler/blob/master/.github/workflows/release.yaml,https://github.com/awslabs/aws-solutions-assembler
aws-solutions-assembler,release.yaml,workflow,M_S3_BUCKET_REGION,secret,step,public,1,0,0,https://github.com/awslabs/aws-solutions-assembler/blob/master/.github/workflows/release.yaml,https://github.com/awslabs/aws-solutions-assembler
pgjdbc,nightlysnapshot.yml,workflow,NEXUS_PASSWORD,secret,job,public,1,1,0,https://github.com/awslabs/pgjdbc/blob/master/.github/workflows/nightlysnapshot.yml,https://github.com/awslabs/pgjdbc
pgjdbc,nightlysnapshot.yml,workflow,NEXUS_PASSWORD,secret,step,public,1,1,0,https://github.com/awslabs/pgjdbc/blob/master/.github/workflows/nightlysnapshot.yml,https://github.com/awslabs/pgjdbc
pgjdbc,nightlysnapshot.yml,workflow,NEXUS_USERNAME,secret,job,public,1,1,0,https://github.com/awslabs/pgjdbc/blob/master/.github/workflows/nightlysnapshot.yml,https://github.com/awslabs/pgjdbc
