org,repo,workflow,ref,url,name,type
awslabs,aws-crt-java,.github/workflows/ci.yml,main,https://github.com/awslabs/aws-crt-java/blob/7f0e2b86325d17358e7b40417e8d92be59620995/.github/workflows/ci.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-crt-nodejs,.github/workflows/ci.yml,main,https://github.com/awslabs/aws-crt-nodejs/blob/cce4c99cc2b765efd38f78fa4b06f63a455e18ee/.github/workflows/ci.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-crt-python,.github/workflows/ci.yml,main,https://github.com/awslabs/aws-crt-python/blob/657a47a8db4d9479c15b5d0a8ccc4ff84d375f42/.github/workflows/ci.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-crt-swift,.github/workflows/ci.yml,main,https://github.com/awslabs/aws-crt-swift/blob/013c9082fc692fe61394d811006273445e20b4d7/.github/workflows/ci.yml,CRT_CI_ROLE_ARN,secret
awslabs,aws-s3-transfer-manager-rs,.github/workflows/ci.yml,main,https://github.com/awslabs/aws-s3-transfer-manager-rs/blob/0226736b8ed3ffea5ad56ddfdc0ae08915ba3d6c/.github/workflows/ci.yml,CI_ROLE_ARN,secret
awslabs,aws-s3-transfer-manager-rs,.github/workflows/release.yml,main,https://github.com/awslabs/aws-s3-transfer-manager-rs/blob/0226736b8ed3ffea5ad56ddfdc0ae08915ba3d6c/.github/workflows/release.yml,RELEASE_ROLE_ARN,secret
awslabs,aws-s3-transfer-manager-rs,.github/workflows/release.yml,main,https://github.com/awslabs/aws-s3-transfer-manager-rs/blob/0226736b8ed3ffea5ad56ddfdc0ae08915ba3d6c/.github/workflows/release.yml,TOKEN_KEY_NAME,secret
awslabs,aws-simple-ec2-cli,.github/workflows/ci.yaml,main,https://github.com/awslabs/aws-simple-ec2-cli/blob/eeb6a4fcc441828c1c6eb1a0a24808cb194b7695/.github/workflows/ci.yaml,EC2_BOT_GITHUB_USERNAME,secret
awslabs,aws-simple-ec2-cli,.github/workflows/ci.yaml,main,https://github.com/awslabs/aws-simple-ec2-cli/blob/eeb6a4fcc441828c1c6eb1a0a24808cb194b7695/.github/workflows/ci.yaml,EC2_BOT_GITHUB_TOKEN,secret
awslabs,LISA,.github/workflows/code.end-to-end-test.nightly.yml,main,https://github.com/awslabs/LISA/blob/9b075b251a09b086e84ab7e1e0b6a95831d4c568/.github/workflows/code.end-to-end-test.nightly.yml,SLACK_WEBHOOK_URL,secret
