repo_name,workflow_path,workflow_type,visibility,archived,forked,reusable_workflow,workflow_url,repo_url,missing_repo,missing_url
codeql-action,__packaging-codescanning-config-inputs-js.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__packaging-codescanning-config-inputs-js.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/.github/actions/check-sarif
codeql-action,__packaging-config-inputs-js.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__packaging-config-inputs-js.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__packaging-config-inputs-js.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__packaging-config-inputs-js.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,__packaging-config-inputs-js.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__packaging-config-inputs-js.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/.github/actions/check-sarif
codeql-action,__packaging-config-js.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__packaging-config-js.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__packaging-config-js.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__packaging-config-js.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,__packaging-config-js.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__packaging-config-js.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/.github/actions/check-sarif
codeql-action,__packaging-inputs-js.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__packaging-inputs-js.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__packaging-inputs-js.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__packaging-inputs-js.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,__packaging-inputs-js.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__packaging-inputs-js.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/.github/actions/check-sarif
codeql-action,__remote-config.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__remote-config.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__remote-config.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__remote-config.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,__resolve-environment-action.yml,action,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/__resolve-environment-action.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__resolve-environment-action.yml,action,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/__resolve-environment-action.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/resolve-environment
codeql-action,__rubocop-multi-language.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__rubocop-multi-language.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/upload-sarif
codeql-action,__ruby.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__ruby.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__ruby.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__ruby.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,__rust.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__rust.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__rust.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__rust.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,__split-workflow.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__split-workflow.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__split-workflow.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__split-workflow.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,__start-proxy.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__start-proxy.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__start-proxy.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__start-proxy.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/start-proxy
codeql-action,__swift-autobuild.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__swift-autobuild.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__swift-autobuild.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__swift-autobuild.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,__swift-autobuild.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__swift-autobuild.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/autobuild
codeql-action,__swift-custom-build.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__swift-custom-build.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__swift-custom-build.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__swift-custom-build.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,__unset-environment.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__unset-environment.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__unset-environment.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__unset-environment.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,__upload-ref-sha-input.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__upload-ref-sha-input.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__upload-ref-sha-input.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__upload-ref-sha-input.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,__upload-ref-sha-input.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__upload-ref-sha-input.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/upload-sarif
codeql-action,__upload-sarif.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__upload-sarif.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__upload-sarif.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__upload-sarif.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,__upload-sarif.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__upload-sarif.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/upload-sarif
codeql-action,__with-checkout-path.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__with-checkout-path.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,__with-checkout-path.yml,workflow,public,0,0,1,https://github.com/github/codeql-action/blob/main/.github/workflows/__with-checkout-path.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,codescanning-config-cli.yml,workflow,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/codescanning-config-cli.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/.github/actions/check-codescanning-config
codeql-action,debug-artifacts-failure-safe.yml,workflow,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/debug-artifacts-failure-safe.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,debug-artifacts-failure-safe.yml,workflow,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/debug-artifacts-failure-safe.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,debug-artifacts-failure-safe.yml,workflow,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/debug-artifacts-failure-safe.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/.github/actions/verify-debug-artifact-scan-completed
codeql-action,debug-artifacts-safe.yml,workflow,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/debug-artifacts-safe.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,debug-artifacts-safe.yml,workflow,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/debug-artifacts-safe.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,debug-artifacts-safe.yml,workflow,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/debug-artifacts-safe.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/.github/actions/verify-debug-artifact-scan-completed
codeql-action,python312-windows.yml,workflow,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/python312-windows.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,python312-windows.yml,workflow,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/python312-windows.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
codeql-action,query-filters.yml,workflow,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/query-filters.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/.github/actions/query-filter-test
codeql-action,test-codeql-bundle-all.yml,workflow,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/test-codeql-bundle-all.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/init
codeql-action,test-codeql-bundle-all.yml,workflow,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/test-codeql-bundle-all.yml,https://github.com/github/codeql-action,github/codeql-action@main,https://github.com/github/codeql-action/blob/main/action/analyze
copilot-cli-for-beginners,course-updater.lock.yml,workflow,public,0,0,0,https://github.com/github/copilot-cli-for-beginners/blob/main/.github/workflows/course-updater.lock.yml,https://github.com/github/copilot-cli-for-beginners,github/gh-aw-actions@2fe53acc038ba01c3bbdc767d4b25df31ca5bdfc,https://github.com/github/gh-aw-actions/blob/2fe53acc038ba01c3bbdc767d4b25df31ca5bdfc/setup
copilot-cli-for-beginners,course-updater.lock.yml,workflow,public,0,0,0,https://github.com/github/copilot-cli-for-beginners/blob/main/.github/workflows/course-updater.lock.yml,https://github.com/github/copilot-cli-for-beginners,actions/github-script@373c709c69115d41ff229c7e5df9f8788daa9553,https://github.com/actions/github-script/blob/373c709c69115d41ff229c7e5df9f8788daa9553/
copilot-cli-for-beginners,traffic-updater.lock.yml,workflow,public,0,0,0,https://github.com/github/copilot-cli-for-beginners/blob/main/.github/workflows/traffic-updater.lock.yml,https://github.com/github/copilot-cli-for-beginners,github/gh-aw-actions@2fe53acc038ba01c3bbdc767d4b25df31ca5bdfc,https://github.com/github/gh-aw-actions/blob/2fe53acc038ba01c3bbdc767d4b25df31ca5bdfc/setup
copilot-cli-for-beginners,traffic-updater.lock.yml,workflow,public,0,0,0,https://github.com/github/copilot-cli-for-beginners/blob/main/.github/workflows/traffic-updater.lock.yml,https://github.com/github/copilot-cli-for-beginners,actions/github-script@373c709c69115d41ff229c7e5df9f8788daa9553,https://github.com/actions/github-script/blob/373c709c69115d41ff229c7e5df9f8788daa9553/
