repo_name,workflow_path,workflow_type,visibility,archived,forked,total_jobs,reusable_workflow,workflow_url,repo_url
awesome-copilot,external-plugin-quality-gates.yml,workflow,public,0,0,1,1,https://github.com/github/awesome-copilot/blob/main/.github/workflows/external-plugin-quality-gates.yml,https://github.com/github/awesome-copilot
awesome-copilot,external-plugin-rereview-command.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/external-plugin-rereview-command.yml,https://github.com/github/awesome-copilot
awesome-copilot,external-plugin-rereview.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/external-plugin-rereview.yml,https://github.com/github/awesome-copilot
awesome-copilot,label-pr-intent.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/label-pr-intent.yml,https://github.com/github/awesome-copilot
awesome-copilot,learning-hub-updater.lock.yml,workflow,public,0,0,5,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/learning-hub-updater.lock.yml,https://github.com/github/awesome-copilot
awesome-copilot,pr-duplicate-check.lock.yml,workflow,public,0,0,6,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/pr-duplicate-check.lock.yml,https://github.com/github/awesome-copilot
awesome-copilot,pr-risk-scan-comment.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/pr-risk-scan-comment.yml,https://github.com/github/awesome-copilot
awesome-copilot,pr-risk-scan.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/pr-risk-scan.yml,https://github.com/github/awesome-copilot
awesome-copilot,publish.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/publish.yml,https://github.com/github/awesome-copilot
awesome-copilot,resource-staleness-report.lock.yml,workflow,public,0,0,5,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/resource-staleness-report.lock.yml,https://github.com/github/awesome-copilot
awesome-copilot,setup-labels.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/setup-labels.yml,https://github.com/github/awesome-copilot
awesome-copilot,skill-check-comment.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/skill-check-comment.yml,https://github.com/github/awesome-copilot
awesome-copilot,skill-check.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/skill-check.yml,https://github.com/github/awesome-copilot
awesome-copilot,skill-quality-report.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/skill-quality-report.yml,https://github.com/github/awesome-copilot
awesome-copilot,traffic-reporting.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/traffic-reporting.yml,https://github.com/github/awesome-copilot
