repo_name,workflow_path,workflow_type,variable_name,variable_type,variable_location,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
gh-aw,github-mcp-structural-analysis.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/github-mcp-structural-analysis.lock.yml,https://github.com/github/gh-aw
gh-aw,github-mcp-tools-report.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/github-mcp-tools-report.lock.yml,https://github.com/github/gh-aw
gh-aw,go-fan.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/go-fan.lock.yml,https://github.com/github/gh-aw
gh-aw,go-logger.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/go-logger.lock.yml,https://github.com/github/gh-aw
gh-aw,go-pattern-detector.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/go-pattern-detector.lock.yml,https://github.com/github/gh-aw
gh-aw,hourly-ci-cleaner.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/hourly-ci-cleaner.lock.yml,https://github.com/github/gh-aw
gh-aw,instructions-janitor.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/instructions-janitor.lock.yml,https://github.com/github/gh-aw
gh-aw,lockfile-stats.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/lockfile-stats.lock.yml,https://github.com/github/gh-aw
gh-aw,portfolio-analyst.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/portfolio-analyst.lock.yml,https://github.com/github/gh-aw
gh-aw,prompt-clustering-analysis.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/prompt-clustering-analysis.lock.yml,https://github.com/github/gh-aw
gh-aw,ruflo-backed-task.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/ruflo-backed-task.lock.yml,https://github.com/github/gh-aw
gh-aw,safe-output-health.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/safe-output-health.lock.yml,https://github.com/github/gh-aw
gh-aw,scout.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/scout.lock.yml,https://github.com/github/gh-aw
gh-aw,semantic-function-refactor.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/semantic-function-refactor.lock.yml,https://github.com/github/gh-aw
gh-aw,sergo.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/sergo.lock.yml,https://github.com/github/gh-aw
gh-aw,smoke-agent-all-merged.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/smoke-agent-all-merged.lock.yml,https://github.com/github/gh-aw
gh-aw,smoke-agent-all-none.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/smoke-agent-all-none.lock.yml,https://github.com/github/gh-aw
gh-aw,smoke-agent-public-approved.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/smoke-agent-public-approved.lock.yml,https://github.com/github/gh-aw
gh-aw,smoke-agent-public-none.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/smoke-agent-public-none.lock.yml,https://github.com/github/gh-aw
gh-aw,smoke-agent-scoped-approved.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/smoke-agent-scoped-approved.lock.yml,https://github.com/github/gh-aw
gh-aw,smoke-claude.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/smoke-claude.lock.yml,https://github.com/github/gh-aw
gh-aw,smoke-crush.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/smoke-crush.lock.yml,https://github.com/github/gh-aw
gh-aw,static-analysis-report.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/static-analysis-report.lock.yml,https://github.com/github/gh-aw
